,hhmm_open,open,high,low,close,minutes,date
118,1058,25.0,25.0,25.0,25.0,1,20240117
119,1059,25.0,25.0,25.0,25.0,1,20240117
120,1100,25.0,25.0,25.0,25.0,1,20240117
121,1101,25.0,25.0,25.0,25.0,1,20240117
122,1102,25.0,25.0,25.0,25.0,1,20240117
123,1103,25.0,25.0,25.0,25.0,1,20240117
124,1104,25.0,25.0,25.0,25.0,1,20240117
125,1105,25.0,25.0,25.0,25.0,1,20240117
126,1106,25.0,25.0,25.0,25.0,1,20240117
127,1107,25.0,25.0,25.0,25.0,1,20240117
128,1108,25.0,25.0,25.0,25.0,1,20240117
129,1109,25.0,25.0,25.0,25.0,1,20240117
130,1110,25.0,25.0,25.0,25.0,1,20240117
131,1111,25.0,25.0,25.0,25.0,1,20240117
132,1112,25.0,25.0,25.0,25.0,1,20240117
133,1113,25.0,25.0,25.0,25.0,1,20240117
134,1114,25.0,25.0,25.0,25.0,1,20240117
135,1115,25.0,25.0,25.0,25.0,1,20240117
136,1116,25.0,25.0,25.0,25.0,1,20240117
137,1117,25.0,25.0,25.0,25.0,1,20240117
138,1118,25.0,25.0,25.0,25.0,1,20240117
139,1119,25.0,25.0,25.0,25.0,1,20240117
140,1120,25.0,25.0,25.0,25.0,1,20240117
141,1121,25.0,25.0,25.0,25.0,1,20240117
142,1122,25.0,25.0,25.0,25.0,1,20240117
143,1123,25.0,25.0,25.0,25.0,1,20240117
144,1124,25.0,25.0,25.0,25.0,1,20240117
145,1125,25.0,25.0,25.0,25.0,1,20240117
146,1126,25.0,25.0,25.0,25.0,1,20240117
147,1127,25.0,25.0,25.0,25.0,1,20240117
148,1128,25.0,25.0,25.0,25.0,1,20240117
149,1129,25.0,25.0,25.0,25.0,1,20240117
150,1130,25.0,25.0,25.0,25.0,1,20240117
151,1131,25.0,25.0,25.0,25.0,1,20240117
152,1132,25.0,25.0,25.0,25.0,1,20240117
153,1133,25.0,25.0,25.0,25.0,1,20240117
154,1134,25.0,25.0,25.0,25.0,1,20240117
155,1135,25.0,25.0,25.0,25.0,1,20240117
156,1136,25.0,25.0,25.0,25.0,1,20240117
157,1137,25.0,25.0,25.0,25.0,1,20240117
158,1138,25.0,25.0,25.0,25.0,1,20240117
159,1139,25.0,25.0,25.0,25.0,1,20240117
160,1140,25.0,25.0,25.0,25.0,1,20240117
161,1141,25.0,25.0,25.0,25.0,1,20240117
162,1142,25.0,25.0,25.0,25.0,1,20240117
163,1143,25.0,25.0,25.0,25.0,1,20240117
164,1144,25.0,25.0,25.0,25.0,1,20240117
165,1145,25.0,25.0,25.0,25.0,1,20240117
166,1146,25.0,25.0,25.0,25.0,1,20240117
167,1147,25.0,25.0,25.0,25.0,1,20240117
168,1148,25.0,25.0,25.0,25.0,1,20240117
169,1149,25.0,25.0,25.0,25.0,1,20240117
170,1150,25.0,25.0,25.0,25.0,1,20240117
171,1151,25.0,25.0,25.0,25.0,1,20240117
172,1152,25.0,25.0,25.0,25.0,1,20240117
173,1153,25.0,25.0,25.0,25.0,1,20240117
174,1154,25.0,25.0,25.0,25.0,1,20240117
175,1155,25.0,25.0,25.0,25.0,1,20240117
176,1156,25.0,25.0,25.0,25.0,1,20240117
177,1157,25.0,25.0,25.0,25.0,1,20240117
178,1158,25.0,25.0,25.0,25.0,1,20240117
179,1159,25.0,25.0,25.0,25.0,1,20240117
180,1200,25.0,25.0,25.0,25.0,1,20240117
181,1201,25.0,25.0,25.0,25.0,1,20240117
182,1202,25.0,25.0,25.0,25.0,1,20240117
183,1203,25.0,25.0,25.0,25.0,1,20240117
184,1204,25.0,25.0,25.0,25.0,1,20240117
185,1205,25.0,25.0,25.0,25.0,1,20240117
186,1206,25.0,25.0,25.0,25.0,1,20240117
187,1207,25.0,25.0,25.0,25.0,1,20240117
188,1208,25.0,25.0,25.0,25.0,1,20240117
189,1209,25.0,25.0,25.0,25.0,1,20240117
190,1210,25.0,25.0,25.0,25.0,1,20240117
191,1211,25.0,25.0,25.0,25.0,1,20240117
192,1212,25.0,25.0,25.0,25.0,1,20240117
193,1213,25.0,25.0,25.0,25.0,1,20240117
194,1214,25.0,25.0,25.0,25.0,1,20240117
195,1215,25.0,25.0,25.0,25.0,1,20240117
196,1216,25.0,25.0,25.0,25.0,1,20240117
197,1217,25.0,25.0,25.0,25.0,1,20240117
198,1218,25.0,25.0,25.0,25.0,1,20240117
199,1219,25.0,25.0,25.0,25.0,1,20240117
200,1220,25.0,25.0,25.0,25.0,1,20240117
201,1221,25.0,25.0,25.0,25.0,1,20240117
202,1222,25.0,25.0,25.0,25.0,1,20240117
203,1223,25.0,25.0,25.0,25.0,1,20240117
204,1224,25.0,25.0,25.0,25.0,1,20240117
205,1225,25.0,25.0,25.0,25.0,1,20240117
206,1226,25.0,25.0,25.0,25.0,1,20240117
207,1227,25.0,25.0,25.0,25.0,1,20240117
208,1228,25.0,25.0,25.0,25.0,1,20240117
209,1229,25.0,25.0,25.0,25.0,1,20240117
210,1230,25.0,25.0,25.0,25.0,1,20240117
211,1231,25.0,25.0,25.0,25.0,1,20240117
212,1232,25.0,25.0,25.0,25.0,1,20240117
213,1233,25.0,25.0,25.0,25.0,1,20240117
214,1234,25.0,25.0,25.0,25.0,1,20240117
